CNTSCHID,n_stu,n_escs,w_sum,STRATUM_stu,REGION_stu,SUBNATIO_stu,escs_mean,math_mean,read_mean,scie_mean,CNT,STRATUM,SUBNATIO,REGION,SC001Q01TA,SC002Q01TA_P,SC002Q02TA_P,SC003Q01TA,SC013Q01TA,W_NRASCHBWT,region_label,stratum_label,school_type,community,class_size,grupo_geo,sector_final,sector_fuente
03200154,19,16,3958.6363988989337,ARG17,3200,320000,-0.5522403598107931,429.8152261052082,457.3991736714376,444.7920580114141,ARG,ARG17,320000,3200,1.0,46.0,54.0,3.0,1.0,179.74986532,Rest of Country,"Patagonia, Public",Public,Village/rural (<3k),21-25,Resto del país,Pública,Cuestionario directivo
03200155,19,19,2069.6086388098133,ARG15,3200,320000,-1.2934054914307769,321.8495379714102,324.58395166731896,376.6263588307117,ARG,ARG15,320000,3200,4.0,59.0,41.0,3.0,1.0,90.930714286,Rest of Country,"Cuyo, Public",Public,City (100k-1M),21-25,Resto del país,Pública,Cuestionario directivo
03200156,29,27,763.2445665395028,ARG01,3201,320100,-0.5318919452551022,360.2946670887815,385.34292374930817,394.095290119105,ARG,ARG01,320100,3201,5.0,48.0,52.0,9.0,1.0,7.4374264706,CABA,"CABA, Public",Public,Large city (1-10M),>50,CABA,Pública,Cuestionario directivo
03200157,31,28,2898.88195556454,ARG09,3200,320000,-1.2785286223171657,343.1905511973736,352.1744047706431,370.9143472975893,ARG,ARG09,320000,3200,3.0,46.0,54.0,9.0,1.0,16.465015294,Rest of Country,"Santa Fe, Public",Public,Town (15-100k),>50,Santa Fe,Pública,Cuestionario directivo
03200158,29,27,286.12701892028286,ARG19,3203,320300,-0.8576216804983947,360.3932654327155,383.30792845929534,414.9954931470978,ARG,ARG19,320300,3203,3.0,41.0,59.0,9.0,1.0,2.7557469799,Mendoza,"Mendoza, Public",Public,Town (15-100k),>50,Resto del país,Pública,Cuestionario directivo
03200159,31,31,369.34689312087096,ARG20,3203,320300,0.2841077720424672,430.3057550978754,441.037373379483,458.9337418837752,ARG,ARG20,320300,3203,5.0,46.0,54.0,9.0,2.0,4.7921511628,Mendoza,"Mendoza, Private",Private,Large city (1-10M),>50,Resto del país,Privada,Cuestionario directivo
03200160,29,27,3348.927691932986,ARG03,3200,320000,-1.503791469526102,329.45042292058747,330.50231364554503,361.46391196864704,ARG,ARG03,320000,3200,4.0,48.0,52.0,9.0,1.0,47.482666282,Rest of Country,"24 Depts Buenos Aires, Public",Public,City (100k-1M),>50,Buenos Aires,Pública,Cuestionario directivo
03200161,11,10,258.63692313467817,ARG08,3202,320200,-0.7928050855870439,401.6058984648852,415.72312773441,431.12692173086106,ARG,ARG08,320200,3202,2.0,56.0,44.0,9.0,2.0,21.717742857,Cordoba,"Cordoba, Private",Private,Small town (3-15k),>50,Córdoba,Privada,Cuestionario directivo
03200162,32,32,430.8572740262746,ARG02,3201,320100,0.0660748129430151,441.6967833629894,455.8179130726424,472.37297980759047,ARG,ARG02,320100,3201,,,,,,5.1805381443,CABA,"CABA, Private",No response,No response,No response,CABA,Privada,Estrato muestral (imputado)
03200163,32,32,388.549826261192,ARG19,3203,320300,-0.0637748444213197,436.84491111958687,474.6453540403835,483.6218598547304,ARG,ARG19,320300,3203,4.0,36.0,64.0,5.0,1.0,1.1218751366,Mendoza,"Mendoza, Public",Public,City (100k-1M),31-35,Resto del país,Pública,Cuestionario directivo
03200164,31,31,397.82700555029584,ARG19,3203,320300,-1.0672626935365976,367.4436592132944,355.35275195715093,389.2229453228504,ARG,ARG19,320300,3203,,,,,,3.0415281481,Mendoza,"Mendoza, Public",No response,No response,No response,Resto del país,Pública,Estrato muestral (imputado)
03200165,32,32,543.4658557402779,ARG01,3201,320100,0.5483005471947487,519.7153551571296,533.7087970765326,564.0215629052987,ARG,ARG01,320100,3201,5.0,55.0,45.0,4.0,1.0,1.4166526611,CABA,"CABA, Public",Public,Large city (1-10M),26-30,CABA,Pública,Cuestionario directivo
