CNT,CNTSCHID,STRATUM,SUBNATIO,REGION,SC001Q01TA,SC002Q01TA_P,SC002Q02TA_P,SC003Q01TA,SC013Q01TA,W_NRASCHBWT
ARG,03200151,ARG09,0320000,03200,5.0,45.0,55.0,8.0,1.0,49.106185965
ARG,03200152,ARG17,0320000,03200,4.0,40.0,60.0,9.0,1.0,21.997361141
ARG,03200153,ARG07,0320200,03202,4.0,67.0,33.0,4.0,1.0,4.3241850299
ARG,03200154,ARG17,0320000,03200,1.0,46.0,54.0,3.0,1.0,179.74986532
ARG,03200155,ARG15,0320000,03200,4.0,59.0,41.0,3.0,1.0,90.930714286
ARG,03200156,ARG01,0320100,03201,5.0,48.0,52.0,9.0,1.0,7.4374264706
ARG,03200157,ARG09,0320000,03200,3.0,46.0,54.0,9.0,1.0,16.465015294
ARG,03200158,ARG19,0320300,03203,3.0,41.0,59.0,9.0,1.0,2.7557469799
ARG,03200159,ARG20,0320300,03203,5.0,46.0,54.0,9.0,2.0,4.7921511628
ARG,03200160,ARG03,0320000,03200,4.0,48.0,52.0,9.0,1.0,47.482666282
ARG,03200161,ARG08,0320200,03202,2.0,56.0,44.0,9.0,2.0,21.717742857
ARG,03200162,ARG02,0320100,03201,,,,,,5.1805381443
ARG,03200163,ARG19,0320300,03203,4.0,36.0,64.0,5.0,1.0,1.1218751366
ARG,03200164,ARG19,0320300,03203,,,,,,3.0415281481
ARG,03200165,ARG01,0320100,03201,5.0,55.0,45.0,4.0,1.0,1.4166526611
ARG,03200166,ARG19,0320300,03203,2.0,39.0,61.0,4.0,1.0,5.8658042857
ARG,03200167,ARG07,0320200,03202,5.0,46.0,54.0,9.0,1.0,5.5366238638
ARG,03200168,ARG08,0320200,03202,5.0,49.0,51.0,7.0,2.0,9.2697682927
ARG,03200169,ARG07,0320200,03202,4.0,40.0,60.0,9.0,1.0,5.0553274263
ARG,03200170,ARG12,0320000,03200,3.0,50.0,50.0,9.0,2.0,56.460459184
ARG,03200171,ARG01,0320100,03201,5.0,56.0,44.0,4.0,1.0,4.6398623853
ARG,03200172,ARG01,0320100,03201,,,,,,4.1797107438
ARG,03200173,ARG02,0320100,03201,5.0,43.0,57.0,5.0,2.0,14.357491429
ARG,03200174,ARG10,0320000,03200,5.0,51.0,49.0,9.0,2.0,39.952743902
ARG,03200175,ARG03,0320000,03200,4.0,49.0,51.0,9.0,1.0,22.422370189
ARG,03200176,ARG07,0320200,03202,2.0,46.0,54.0,9.0,1.0,9.4858391033
ARG,03200177,ARG14,0320000,03200,4.0,42.0,58.0,9.0,2.0,28.571078151
ARG,03200178,ARG02,0320100,03201,,,,,,1.053484696
ARG,03200179,ARG19,0320300,03203,3.0,48.0,52.0,5.0,1.0,2.2315559783
ARG,03200180,ARG19,0320300,03203,4.0,42.0,58.0,9.0,1.0,4.3221715789
ARG,03200181,ARG02,0320100,03201,2.0,50.0,50.0,9.0,2.0,5.025122
ARG,03200182,ARG05,0320000,03200,,,,,,109.54279277
ARG,03200183,ARG12,0320000,03200,2.0,51.0,49.0,9.0,2.0,41.291977612
ARG,03200184,ARG09,0320000,03200,2.0,42.0,58.0,9.0,1.0,28.273258586
ARG,03200185,ARG03,0320000,03200,3.0,64.0,36.0,5.0,1.0,24.460767478
ARG,03200186,ARG08,0320200,03202,,,,,,7.60121
ARG,03200187,ARG19,0320300,03203,2.0,49.0,51.0,9.0,1.0,2.891593662
ARG,03200188,ARG08,0320200,03202,5.0,49.0,51.0,3.0,2.0,11.016246377
ARG,03200189,ARG11,0320000,03200,5.0,40.0,60.0,9.0,1.0,43.837739897
ARG,03200190,ARG02,0320100,03201,,,,,,4.1529933884
ARG,03200191,ARG11,0320000,03200,4.0,42.0,58.0,9.0,1.0,84.991536536
ARG,03200192,ARG02,0320100,03201,,,,,,9.6636961538
ARG,03200193,ARG07,0320200,03202,3.0,52.0,48.0,4.0,1.0,7.9645252848
ARG,03200194,ARG03,0320000,03200,2.0,55.0,45.0,5.0,1.0,14.038353509
ARG,03200195,ARG19,0320300,03203,3.0,59.0,41.0,1.0,1.0,46.926434286
ARG,03200196,ARG11,0320000,03200,3.0,46.0,54.0,9.0,1.0,28.721277864
ARG,03200197,ARG11,0320000,03200,2.0,65.0,35.0,,1.0,335.29795429
ARG,03200198,ARG07,0320200,03202,5.0,49.0,51.0,9.0,1.0,8.3961988264
ARG,03200199,ARG19,0320300,03203,4.0,45.0,55.0,5.0,1.0,2.3598063218
ARG,03200200,ARG08,0320200,03202,5.0,48.0,52.0,5.0,2.0,14.34190566
ARG,03200201,ARG15,0320000,03200,2.0,45.0,55.0,9.0,1.0,67.714361702
ARG,03200202,ARG05,0320000,03200,2.0,61.0,39.0,9.0,1.0,22.552927923
ARG,03200203,ARG20,0320300,03203,5.0,50.0,50.0,4.0,2.0,9.8125
ARG,03200204,ARG01,0320100,03201,,,,,,2.0898553719
ARG,03200205,ARG19,0320300,03203,,,,,,11.731608571
ARG,03200206,ARG03,0320000,03200,4.0,49.0,51.0,5.0,1.0,21.669941659
ARG,03200207,ARG18,0320000,03200,4.0,47.0,53.0,9.0,2.0,37.245598592
ARG,03200208,ARG13,0320000,03200,,,,,,32.418303401
ARG,03200209,ARG11,0320000,03200,1.0,48.0,52.0,6.0,1.0,167.64897714
ARG,03200210,ARG04,0320000,03200,4.0,49.0,51.0,5.0,2.0,32.429828345
ARG,03200211,ARG09,0320000,03200,1.0,39.0,61.0,6.0,1.0,79.972931429
ARG,03200212,ARG04,0320000,03200,4.0,56.0,44.0,4.0,2.0,55.913497147
ARG,03200213,ARG05,0320000,03200,,,,,,83.347777105
ARG,03200214,ARG07,0320200,03202,6.0,52.0,48.0,4.0,1.0,6.8219115464
ARG,03200215,ARG19,0320300,03203,,,,,,3.986468932
ARG,03200216,ARG02,0320100,03201,,,,,,6.8837287671
ARG,03200217,ARG10,0320000,03200,5.0,46.0,54.0,5.0,2.0,66.859693878
ARG,03200218,ARG03,0320000,03200,4.0,46.0,54.0,4.0,1.0,20.56574081
ARG,03200219,ARG04,0320000,03200,4.0,47.0,53.0,2.0,2.0,87.648184716
ARG,03200220,ARG19,0320300,03203,,,,,,2.9121014184
ARG,03200221,ARG02,0320100,03201,,,,,,14.357491429
ARG,03200222,ARG07,0320200,03202,3.0,62.0,38.0,4.0,1.0,5.9037739874
ARG,03200223,ARG19,0320300,03203,4.0,31.0,69.0,9.0,1.0,2.2194935135
ARG,03200224,ARG15,0320000,03200,3.0,54.0,46.0,9.0,1.0,75.775595238
ARG,03200225,ARG04,0320000,03200,4.0,50.0,50.0,9.0,2.0,30.027618838
ARG,03200226,ARG10,0320000,03200,5.0,45.0,55.0,3.0,2.0,93.603571429
ARG,03200227,ARG07,0320200,03202,2.0,57.0,43.0,9.0,1.0,21.830116949
ARG,03200228,ARG01,0320100,03201,,,,,,5.6825280899
ARG,03200229,ARG19,0320300,03203,4.0,43.0,57.0,9.0,1.0,1.6967202479
ARG,03200230,ARG20,0320300,03203,4.0,51.0,49.0,9.0,2.0,4.1628787879
ARG,03200231,ARG19,0320300,03203,4.0,73.0,27.0,9.0,1.0,2.5987740506
ARG,03200232,ARG01,0320100,03201,5.0,47.0,53.0,9.0,1.0,2.6340885417
ARG,03200233,ARG02,0320100,03201,4.0,48.0,52.0,9.0,2.0,6.6120026316
ARG,03200234,ARG01,0320100,03201,,,,,,3.8314015152
ARG,03200235,ARG17,0320000,03200,2.0,50.0,50.0,9.0,1.0,82.779543239
ARG,03200236,ARG08,0320200,03202,3.0,43.0,57.0,9.0,2.0,10.858871429
ARG,03200237,ARG05,0320000,03200,2.0,31.0,69.0,1.0,1.0,219.08558553
ARG,03200238,ARG14,0320000,03200,3.0,24.0,76.0,9.0,2.0,43.589208974
ARG,03200239,ARG05,0320000,03200,4.0,53.0,47.0,2.0,1.0,67.263118366
ARG,03200240,ARG08,0320200,03202,1.0,53.0,47.0,6.0,2.0,21.717742857
ARG,03200241,ARG19,0320300,03203,,,,,,3.7670302752
ARG,03200242,ARG19,0320300,03203,3.0,73.0,27.0,4.0,1.0,3.6018096491
ARG,03200243,ARG15,0320000,03200,3.0,71.0,29.0,4.0,1.0,363.72285714
ARG,03200244,ARG13,0320000,03200,3.0,51.0,49.0,9.0,1.0,39.058196868
ARG,03200245,ARG14,0320000,03200,3.0,43.0,57.0,5.0,2.0,73.912136957
ARG,03200246,ARG17,0320000,03200,4.0,42.0,58.0,9.0,1.0,34.191550468
ARG,03200247,ARG02,0320100,03201,,,,,,8.6640034483
ARG,03200248,ARG11,0320000,03200,1.0,52.0,48.0,9.0,1.0,83.824488571
ARG,03200249,ARG08,0320200,03202,,,,,,19.490282051
ARG,03200250,ARG01,0320100,03201,5.0,56.0,44.0,9.0,1.0,3.3716333333
ARG,03200251,ARG13,0320000,03200,5.0,63.0,38.0,4.0,1.0,43.808518109
ARG,03200252,ARG13,0320000,03200,1.0,59.0,41.0,9.0,1.0,35.237286305
ARG,03200253,ARG19,0320300,03203,,,,,,6.9594288136
ARG,03200254,ARG12,0320000,03200,3.0,40.0,60.0,,2.0,79.044642857
ARG,03200255,ARG13,0320000,03200,2.0,44.0,56.0,9.0,1.0,50.653599063
ARG,03200256,ARG08,0320200,03202,2.0,42.0,58.0,9.0,1.0,8.173344086
ARG,03200257,ARG07,0320200,03202,2.0,81.0,19.0,3.0,1.0,17.193783333
ARG,03200258,ARG03,0320000,03200,3.0,47.0,53.0,9.0,1.0,62.092717445
ARG,03200259,ARG19,0320300,03203,,,,,,2.566289375
